id_registro_educacional;id_caso;fecha;asistencia_establecimiento;cambio_rutina;carga_demanda_academica;nivel_ruido_ambiente;transicion_dificil;observacion_breve;origen_dato
EDU-0001;PAC-001;2026-07-01;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0002;PAC-001;2026-07-02;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0003;PAC-001;2026-07-03;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0004;PAC-001;2026-07-04;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0005;PAC-001;2026-07-05;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0006;PAC-001;2026-07-06;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0007;PAC-001;2026-07-07;Asiste jornada completa;No;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0008;PAC-001;2026-07-08;Asiste jornada completa;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0009;PAC-001;2026-07-09;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0010;PAC-001;2026-07-10;Asiste jornada completa;No;Alta;Moderado;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0011;PAC-001;2026-07-11;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0012;PAC-001;2026-07-12;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0013;PAC-001;2026-07-13;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0014;PAC-001;2026-07-14;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0015;PAC-001;2026-07-15;Asiste jornada completa;Sí;Baja;Moderado;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0016;PAC-001;2026-07-16;Ausente;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0017;PAC-001;2026-07-17;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0018;PAC-001;2026-07-18;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0019;PAC-001;2026-07-19;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0020;PAC-001;2026-07-20;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0021;PAC-001;2026-07-21;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0022;PAC-001;2026-07-22;Ausente;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0023;PAC-001;2026-07-23;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0024;PAC-001;2026-07-24;Asiste jornada completa;Sí;Alta;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0025;PAC-001;2026-07-25;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0026;PAC-001;2026-07-26;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0027;PAC-001;2026-07-27;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0028;PAC-001;2026-07-28;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0029;PAC-001;2026-07-29;Asiste jornada completa;No;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0030;PAC-001;2026-07-30;Asiste jornada completa;No;Baja;Alto;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0031;PAC-001;2026-07-31;Asiste jornada completa;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0032;PAC-001;2026-08-01;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0033;PAC-001;2026-08-02;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0034;PAC-001;2026-08-03;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0035;PAC-001;2026-08-04;Asiste jornada completa;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0036;PAC-001;2026-08-05;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0037;PAC-001;2026-08-06;Asiste jornada completa;Sí;Baja;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0038;PAC-001;2026-08-07;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0039;PAC-001;2026-08-08;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0040;PAC-001;2026-08-09;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0041;PAC-001;2026-08-10;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0042;PAC-001;2026-08-11;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0043;PAC-001;2026-08-12;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0044;PAC-001;2026-08-13;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0045;PAC-001;2026-08-14;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0046;PAC-001;2026-08-15;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0047;PAC-001;2026-08-16;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0048;PAC-001;2026-08-17;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0049;PAC-001;2026-08-18;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0050;PAC-001;2026-08-19;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0051;PAC-001;2026-08-20;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0052;PAC-001;2026-08-21;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0053;PAC-001;2026-08-22;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0054;PAC-001;2026-08-23;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0055;PAC-001;2026-08-24;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0056;PAC-002;2026-07-01;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0057;PAC-002;2026-07-02;Asiste jornada completa;No;Moderada;Alto;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0058;PAC-002;2026-07-03;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0059;PAC-002;2026-07-04;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0060;PAC-002;2026-07-05;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
